31	16	22
42	16	25
58	12	41
44	12	42
58	14	34
63	17	22
62	14	34
43	12	40
48	16	27
61	14	35
52	14	35
48	12	43
44	15	29
49	13	36
50	14	34
61	13	38
73	17	27
73	16	29
52	16	28
45	14	32
51	15	31
70	16	29
40	12	42
35	15	29
57	17	26
39	14	35
58	15	32
55	13	41
45	11	44
71	15	34
68	15	35
43	12	43
37	14	35
59	17	23
67	16	30
53	15	32
31	14	34
55	15	34
53	16	30
34	15	28
56	12	43
30	15	30
65	14	37
49	13	39
32	14	32
39	16	25
47	14	35
65	15	34
67	18	24
55	17	24
34	17	23
46	12	44
67	16	34
56	12	44
69	19	22
42	11	44
65	16	30
42	13	39
70	14	37
29	14	34
60	13	41
50	16	28
34	15	32
54	14	37
44	17	25
35	17	21
33	13	38
39	16	26
56	14	38
69	16	34
31	13	37
62	14	39
49	17	26
45	14	34
39	12	41
66	18	23
34	15	34
53	14	35
69	18	24
72	16	33
64	16	32
42	12	42
38	18	22
33	16	26
63	18	25
71	18	25
74	18	26
49	15	33
44	15	31
69	17	30
54	16	31
60	13	43
55	13	43
46	18	23
66	15	37
32	15	30
53	13	40
49	13	43
48	16	31
36	15	31
38	15	31
74	17	28
62	14	41
31	16	28
60	19	23
63	19	23
50	14	38
47	14	40
62	13	44
32	18	23
63	15	35
59	18	25
36	15	34
32	14	34
42	14	40
56	14	41
31	17	24
38	17	24
37	13	42
40	13	41
71	17	28
54	17	29
37	13	40
72	18	25
55	14	39
33	18	23
46	13	43
40	15	35
48	13	44
65	15	36
71	16	35
37	19	21
48	16	34
64	19	24
61	13	43
29	16	31
53	18	27
66	14	41
48	17	28
56	17	31
63	13	44
66	16	33
33	14	36
53	15	38
47	17	26
31	16	31
41	17	27
56	18	25
51	17	31
62	15	38
40	14	37
61	18	25
38	12	44
43	17	26
36	16	30
31	15	35
29	18	24
56	17	33
45	13	42
61	15	36
52	17	29
40	14	40
69	16	36
39	13	43
39	18	25
27	16	31
70	15	39
30	17	26
57	13	46
33	14	40
55	16	34
45	18	27
52	15	37
55	13	46
38	15	35
71	17	33
67	16	36
45	13	45
38	14	38
58	16	33
67	18	30
44	16	33
50	15	36
47	18	25
63	15	39
45	15	36
49	14	39
52	16	33
31	15	34
56	15	39
53	19	25
30	19	23
60	13	46
33	16	32
55	19	25
63	14	42
69	18	29
45	17	31
47	14	42
64	19	26
56	16	36
63	14	41
45	13	44
69	17	34
57	14	44
46	13	45
35	19	21
36	18	25
66	19	25
37	18	23
71	16	38
55	14	45
30	15	34
41	13	44
68	19	25
58	16	35
59	14	42
56	18	28
50	18	30
65	20	23
33	17	30
59	14	44
44	16	35
44	19	23
65	15	42
28	18	25
44	14	40
67	15	40
46	14	41
58	19	24
33	18	26
45	19	24
62	19	27
52	16	36
65	18	31
55	14	42
53	15	41
55	16	37
49	14	41
31	18	26
72	20	23
74	19	28
71	19	26
42	19	24
68	20	23
57	18	30
47	16	35
72	19	29
50	17	32
73	17	34
34	19	23
44	13	45
54	16	36
50	17	34
29	15	35
39	16	36
40	18	27
29	18	27
47	16	36
26	17	32
58	18	28
49	18	28
33	14	41
48	18	29
75	19	26
50	16	38
29	17	30
37	18	26
32	18	28
46	18	29
37	14	42
72	17	36
54	19	27
46	17	32
30	17	30
53	17	34
55	17	32
64	14	44
55	17	33
59	15	40
36	14	43
57	15	42
33	19	24
35	16	34
32	15	39
